ID,Promoter,Value,Gene origin,Gene.origin.1,Gene type,Cell type ,Experiment
1,*AeU6.702,16.91293251,Ae.aegypti,NA,U6,Aag2,1
2,*AeU6.702,9.026035687,Ae.aegypti,NA,U6,Aag2,1
3,*AeU6.702,6.850650116,Ae.aegypti,NA,U6,Aag2,1
4,*AeU6.702,15.34496509,Ae.aegypti,NA,U6,Aag2,1
5,*AeU6.702,17.57826998,Ae.aegypti,NA,U6,Aag2,1
6,*AeU6.702,16.31134988,Ae.aegypti,NA,U6,Aag2,1
7,*AeU6.702,11.64173002,Ae.aegypti,NA,U6,Aag2,1
8,*AeU6.702,10.78460822,Ae.aegypti,NA,U6,Aag2,1
9,*AeU6.702,36.33957653,Ae.aegypti,NA,U6,Aag2,2
10,*AeU6.702,31.97377015,Ae.aegypti,NA,U6,Aag2,2
11,*AeU6.702,27.66485832,Ae.aegypti,NA,U6,Aag2,2
12,*AeU6.702,31.88802275,Ae.aegypti,NA,U6,Aag2,2
13,*AeU6.702,30.53085431,Ae.aegypti,NA,U6,Aag2,2
14,*AeU6.702,22.55682082,Ae.aegypti,NA,U6,Aag2,2
15,*AeU6.702,19.53176024,Ae.aegypti,NA,U6,Aag2,2
16,*AeU6.702,34.90601496,Ae.aegypti,NA,U6,Aag2,2
17,*AeU6.702,28.25408811,Ae.aegypti,NA,U6,Aag2,3
18,*AeU6.702,24.40821145,Ae.aegypti,NA,U6,Aag2,3
19,*AeU6.702,14.41151542,Ae.aegypti,NA,U6,Aag2,3
20,*AeU6.702,16.12230837,Ae.aegypti,NA,U6,Aag2,3
21,*AeU6.702,10.03081057,Ae.aegypti,NA,U6,Aag2,3
22,*AeU6.702,23.04656388,Ae.aegypti,NA,U6,Aag2,3
23,*AeU6.702,26.28852863,Ae.aegypti,NA,U6,Aag2,3
24,*AeU6.702,24.90888106,Ae.aegypti,NA,U6,Aag2,3
25,*AeU6.702,44.10805426,Ae.aegypti,NA,U6,Aag2,4
26,*AeU6.702,40.12765891,Ae.aegypti,NA,U6,Aag2,4
27,*AeU6.702,40.3347907,Ae.aegypti,NA,U6,Aag2,4
28,*AeU6.702,36.18606202,Ae.aegypti,NA,U6,Aag2,4
29,*AeU6.702,39.99647287,Ae.aegypti,NA,U6,Aag2,4
30,*AeU6.702,43.71871318,Ae.aegypti,NA,U6,Aag2,4
31,*AeU6.702,32.54644961,Ae.aegypti,NA,U6,Aag2,4
32,*AeU6.702,49.07370543,Ae.aegypti,NA,U6,Aag2,4
33,*AeU6.702,67.83742967,Ae.aegypti,NA,U6,Aag2,5
34,*AeU6.702,47.72638436,Ae.aegypti,NA,U6,Aag2,5
35,*AeU6.702,35.86296269,Ae.aegypti,NA,U6,Aag2,5
36,*AeU6.702,40.1973053,Ae.aegypti,NA,U6,Aag2,5
37,*AeU6.702,42.10226532,Ae.aegypti,NA,U6,Aag2,5
38,*AeU6.702,37.43876962,Ae.aegypti,NA,U6,Aag2,5
39,*AeU6.702,33.47371187,Ae.aegypti,NA,U6,Aag2,5
40,*AeU6.702,46.7791605,Ae.aegypti,NA,U6,Aag2,5
41,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
42,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
43,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
44,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
45,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
46,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
47,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
48,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,6
49,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
50,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
51,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
52,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
53,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
54,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
55,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
56,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,7
57,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
58,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
59,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
60,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
61,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
62,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
63,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
64,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,8
65,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
66,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
67,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
68,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
69,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
70,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
71,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
72,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,9
73,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
74,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
75,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
76,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
77,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
78,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
79,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
80,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,10
81,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
82,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
83,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
84,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
85,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
86,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
87,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
88,*AeU6.702,NA,Ae.aegypti,NA,U6,Aag2,11
89,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
90,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
91,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
92,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
93,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
94,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
95,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
96,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,12
97,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
98,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
99,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
100,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
101,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
102,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
103,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
104,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,13
105,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
106,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
107,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
108,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
109,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
110,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
111,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
112,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,14
113,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
114,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
115,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
116,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
117,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
118,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
119,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
120,*AeU6.702,NA,Ae.aegypti,Ae.aegypti,U6,Aag2,15
121,AeU6.763,8.239425912,Ae.aegypti,Ae.aegypti,U6,Aag2,1
122,AeU6.763,7.968200155,Ae.aegypti,Ae.aegypti,U6,Aag2,1
123,AeU6.763,6.541314973,Ae.aegypti,Ae.aegypti,U6,Aag2,1
124,AeU6.763,7.306792863,Ae.aegypti,Ae.aegypti,U6,Aag2,1
125,AeU6.763,4.036775019,Ae.aegypti,Ae.aegypti,U6,Aag2,1
